lookback,rebalance_freq,signal,alloc_params,dd_penalty,total_return,ann_return,sharpe,max_dd,calmar,sortino,score
10,20,sharpe,"{'style': 'softmax', 'k': 5.0, 'clip_lo': 0.1, 'clip_hi': 0.9}",0.0,1.8347743257637812,0.23271951319792672,1.0337723940527002,-0.29885694240272576,0.7786986761623825,1.0967532637806339,1.0104205400854371
10,20,sharpe,"{'style': 'softmax', 'k': 5.0, 'clip_lo': 0.1, 'clip_hi': 0.9}",1.0,1.834785463488923,0.23272048571763038,1.0340861594582997,-0.2986481164197401,0.7792464279201585,1.0971511399213705,1.0103621333892705
10,20,composite_sortino_1,"{'style': 'softmax', 'k': 5.0, 'clip_lo': 0.1, 'clip_hi': 0.9}",0.0,1.8398590766683873,0.2331631843710087,1.0390435928907258,-0.29535315067753565,0.7894385955990311,1.103341413400966,1.010344967433212
10,20,composite_sm_1.0,"{'style': 'softmax', 'k': 10.0, 'clip_lo': 0.1, 'clip_hi': 0.9}",2.0,1.8399244938779664,0.23316888822754356,1.0389476664525679,-0.29535315067753565,0.7894579075864896,1.101384405829557,1.0103190960445616
10,20,composite_sm_1.0,"{'style': 'softmax', 'k': 10.0, 'clip_lo': 0.1, 'clip_hi': 0.9}",1.0,1.8399182272238028,0.2331683418300583,1.03894567783523,-0.29535315067753565,0.7894560576063371,1.1013817539880564,1.0103171562533926
10,20,composite_sm_1.0,"{'style': 'softmax', 'k': 10.0, 'clip_lo': 0.1, 'clip_hi': 0.9}",0.0,1.8399119557934998,0.23316779501517093,1.0389436876461657,-0.29535315067753565,0.7894542062129539,1.1013791001185769,1.0103152149616355
10,20,sharpe,"{'style': 'softmax', 'k': 5.0, 'clip_lo': 0.1, 'clip_hi': 0.9}",2.0,1.8347871921457748,0.23272063665956688,1.0343884347421382,-0.2984444299555472,0.7797787644971045,1.0975351420471913,1.0103019930162833
10,20,composite_sortino_1,"{'style': 'softmax', 'k': 5.0, 'clip_lo': 0.1, 'clip_hi': 0.9}",1.0,1.83955599973538,0.23313675712048343,1.0389346753599997,-0.29535315067753565,0.7893491188165086,1.103215814134689,1.0102461164332
20,20,sortino,"{'style': 'softmax', 'k': 10.0, 'clip_lo': 0.1, 'clip_hi': 0.9}",0.0,1.8295661312764144,0.23226441106765483,1.0255207598235367,-0.3033808883251785,0.7655867997948324,1.0851992191115072,1.0101965436755576
10,20,composite_all,"{'style': 'discrete', 'lo_thresh': 0.2, 'hi_thresh': 0.5, 'w_lo': 0.7, 'w_hi': 0.9}",2.0,1.8345106324687994,0.23269648723369274,1.0301242959838854,-0.30026086557193055,0.7749810453674906,1.0953778508048457,1.010170269375372
10,20,composite_all,"{'style': 'discrete', 'lo_thresh': 0.2, 'hi_thresh': 0.5, 'w_lo': 0.7, 'w_hi': 0.9}",1.0,1.8345106324687994,0.23269648723369274,1.0301242959838854,-0.30026086557193055,0.7749810453674906,1.0953778508048457,1.010170269375372
10,20,composite_all,"{'style': 'discrete', 'lo_thresh': 0.2, 'hi_thresh': 0.5, 'w_lo': 0.7, 'w_hi': 0.9}",0.0,1.8345106324687994,0.23269648723369274,1.0301242959838854,-0.30026086557193055,0.7749810453674906,1.0953778508048457,1.010170269375372
10,20,composite_sortino_1,"{'style': 'softmax', 'k': 5.0, 'clip_lo': 0.1, 'clip_hi': 0.9}",2.0,1.8392474002230088,0.2331098460039258,1.0388237495423895,-0.29535315067753565,0.7892580037714017,1.1030879301014047,1.0101454548618027
30,15,calmar,"{'style': 'discrete', 'lo_thresh': 0.05, 'hi_thresh': 0.2, 'w_lo': 0.65, 'w_hi': 0.85}",0.0,1.8239189189651333,0.23177018958050177,1.0166029899447606,-0.30843933577840643,0.7514287419965335,1.082140315313075,1.0101005978769213
30,15,calmar,"{'style': 'discrete', 'lo_thresh': 0.05, 'hi_thresh': 0.2, 'w_lo': 0.65, 'w_hi': 0.85}",1.0,1.8239189189651333,0.23177018958050177,1.0166029899447606,-0.30843933577840643,0.7514287419965335,1.082140315313075,1.0101005978769213
10,20,composite_sm_2.0,"{'style': 'discrete', 'lo_thresh': 0.1, 'hi_thresh': 0.3, 'w_lo': 0.7, 'w_hi': 0.9}",2.0,1.8390708488653131,0.23309444896537923,1.0386762606829898,-0.29535315067753565,0.789205872829206,1.1010231081588102,1.0100546533595856
10,20,composite_sm_2.0,"{'style': 'discrete', 'lo_thresh': 0.1, 'hi_thresh': 0.3, 'w_lo': 0.7, 'w_hi': 0.9}",1.0,1.8390708488653131,0.23309444896537923,1.0386762606829898,-0.29535315067753565,0.789205872829206,1.1010231081588102,1.0100546533595856
10,20,composite_sm_2.0,"{'style': 'discrete', 'lo_thresh': 0.1, 'hi_thresh': 0.3, 'w_lo': 0.7, 'w_hi': 0.9}",0.0,1.8390708488653131,0.23309444896537923,1.0386762606829898,-0.29535315067753565,0.789205872829206,1.1010231081588102,1.0100546533595856
30,15,calmar,"{'style': 'discrete', 'lo_thresh': 0.2, 'hi_thresh': 0.5, 'w_lo': 0.7, 'w_hi': 0.9}",0.0,1.8266871762796453,0.23201255501392382,1.0238251336451758,-0.3045571322733681,0.7618030340121564,1.0913568483746598,1.0100353656208423
30,15,calmar,"{'style': 'discrete', 'lo_thresh': 0.2, 'hi_thresh': 0.5, 'w_lo': 0.7, 'w_hi': 0.9}",1.0,1.8266871762796453,0.23201255501392382,1.0238251336451758,-0.3045571322733681,0.7618030340121564,1.0913568483746598,1.0100353656208423
10,20,composite_all,"{'style': 'softmax', 'k': 5.0, 'clip_lo': 0.1, 'clip_hi': 0.9}",0.0,1.8380830747266161,0.23300829109273113,1.0384931237943003,-0.29535315067753565,0.7889141614676263,1.1048260719363627,1.0098004045608018
